precision,N,time_ms
float,512,1.105,242.90
float,512,0.746,359.83
float,512,0.798,336.24
double,512,2.895,92.74
double,512,2.945,91.15
double,512,3.000,89.47
float,1024,5.778,371.69
float,1024,6.226,344.94
float,1024,5.769,372.28
double,1024,21.441,100.16
double,1024,21.635,99.26
double,1024,21.430,100.21
float,2000,42.175,379.37
float,2000,42.158,379.53
float,2000,41.636,384.28
double,2000,150.699,106.17
double,2000,151.600,105.54
double,2000,150.586,106.25
float,2048,43.400,395.85
float,2048,45.366,378.70
float,2048,44.908,382.55
double,2048,161.426,106.43
double,2048,160.972,106.73
double,2048,161.646,106.28
