impl,precision,N,M,K,C00,elapsed_ms
opencl,float,512,512,512,512.000000,6.786
opencl,float,512,512,512,512.000000,6.788
opencl,float,512,512,512,512.000000,6.763
opencl,float,512,512,512,512.000000,6.696
opencl,float,512,512,512,512.000000,6.751
opencl,float,512,512,512,512.000000,6.746
opencl,float,512,512,512,512.000000,6.770
opencl,float,512,512,512,512.000000,6.706
opencl,float,512,512,512,512.000000,6.759
opencl,float,512,512,512,512.000000,6.743
opencl,double,512,512,512,512.000000,7.303
opencl,double,512,512,512,512.000000,7.903
opencl,double,512,512,512,512.000000,7.863
opencl,double,512,512,512,512.000000,7.920
opencl,double,512,512,512,512.000000,7.891
opencl,double,512,512,512,512.000000,7.915
opencl,double,512,512,512,512.000000,7.834
opencl,double,512,512,512,512.000000,7.987
opencl,double,512,512,512,512.000000,8.201
opencl,double,512,512,512,512.000000,7.858
opencl,float,1024,1024,1024,1024.000000,47.907
opencl,float,1024,1024,1024,1024.000000,47.410
opencl,float,1024,1024,1024,1024.000000,47.706
opencl,float,1024,1024,1024,1024.000000,47.974
opencl,float,1024,1024,1024,1024.000000,47.519
opencl,float,1024,1024,1024,1024.000000,47.968
opencl,float,1024,1024,1024,1024.000000,47.843
opencl,float,1024,1024,1024,1024.000000,47.758
opencl,float,1024,1024,1024,1024.000000,47.828
opencl,float,1024,1024,1024,1024.000000,47.832
opencl,double,1024,1024,1024,1024.000000,51.460
opencl,double,1024,1024,1024,1024.000000,51.676
opencl,double,1024,1024,1024,1024.000000,51.460
opencl,double,1024,1024,1024,1024.000000,51.203
opencl,double,1024,1024,1024,1024.000000,51.645
opencl,double,1024,1024,1024,1024.000000,51.154
opencl,double,1024,1024,1024,1024.000000,51.786
opencl,double,1024,1024,1024,1024.000000,51.134
opencl,double,1024,1024,1024,1024.000000,51.851
opencl,double,1024,1024,1024,1024.000000,51.289
opencl,float,2048,2048,2048,2048.000000,318.436
opencl,float,2048,2048,2048,2048.000000,272.242
opencl,float,2048,2048,2048,2048.000000,274.207
opencl,float,2048,2048,2048,2048.000000,274.028
opencl,float,2048,2048,2048,2048.000000,273.971
opencl,float,2048,2048,2048,2048.000000,273.424
opencl,float,2048,2048,2048,2048.000000,274.163
opencl,float,2048,2048,2048,2048.000000,273.513
opencl,float,2048,2048,2048,2048.000000,274.145
opencl,float,2048,2048,2048,2048.000000,276.487
opencl,double,2048,2048,2048,2048.000000,305.210
opencl,double,2048,2048,2048,2048.000000,304.776
opencl,double,2048,2048,2048,2048.000000,306.155
opencl,double,2048,2048,2048,2048.000000,306.227
opencl,double,2048,2048,2048,2048.000000,306.195
opencl,double,2048,2048,2048,2048.000000,306.573
opencl,double,2048,2048,2048,2048.000000,306.896
opencl,double,2048,2048,2048,2048.000000,306.891
opencl,double,2048,2048,2048,2048.000000,305.888
opencl,double,2048,2048,2048,2048.000000,306.742
opencl,float,2000,2000,2000,2000.000000,198.284
opencl,float,2000,2000,2000,2000.000000,198.609
opencl,float,2000,2000,2000,2000.000000,197.973
opencl,float,2000,2000,2000,2000.000000,197.942
opencl,float,2000,2000,2000,2000.000000,198.766
opencl,float,2000,2000,2000,2000.000000,198.538
opencl,float,2000,2000,2000,2000.000000,198.396
opencl,float,2000,2000,2000,2000.000000,198.221
opencl,float,2000,2000,2000,2000.000000,197.705
opencl,float,2000,2000,2000,2000.000000,198.543
opencl,double,2000,2000,2000,2000.000000,389.776
opencl,double,2000,2000,2000,2000.000000,391.736
opencl,double,2000,2000,2000,2000.000000,388.547
opencl,double,2000,2000,2000,2000.000000,388.403
opencl,double,2000,2000,2000,2000.000000,388.576
opencl,double,2000,2000,2000,2000.000000,388.353
opencl,double,2000,2000,2000,2000.000000,386.626
opencl,double,2000,2000,2000,2000.000000,387.739
opencl,double,2000,2000,2000,2000.000000,388.214
opencl,double,2000,2000,2000,2000.000000,386.855
